title         = ASCII CSV version of Natural Gas production data from the 2010 British Petroleum Statistical Review (worksheet 20)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_production_ft3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"BP_OSCA","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7
"BP_TSCA","na","na","na","na","na",1.8,1.8,1.9,2.1,2.3,2.3,2.5,2.8,2.9,3.0,3.3,3.4,3.7,4.1,4.3,4.4,4.8,4.8,5.2,5.4,5.6,5.8,5.8,6.3,6.7,7.3,8.1,8.2,8.7,8.9,9.7,10.1,10.3,11.5,12.7,13.4,14.6,15.0,15.2,14.7
"AZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1.2,1.2,1.1,1.0,1.0,0.9,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.6,0.9,1.4,1.4
"DK","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.0,0.9,1.0,0.8
"DE","na","na","na","na","na",1.1,1.3,1.6,1.8,1.9,1.7,1.8,1.8,2.0,2.0,1.8,1.9,1.7,1.8,1.9,1.7,1.6,1.8,1.6,1.5,1.5,1.4,1.4,1.4,1.5,1.6,1.7,1.7,1.6,1.7,1.6,1.6,1.6,1.7,1.6,1.5,1.5,1.4,1.3,1.2
"IT","na","na","na","na","na",1.2,1.2,1.3,1.4,1.4,1.3,1.4,1.2,1.2,1.2,1.1,1.2,1.3,1.1,1.2,1.2,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.7,1.7,1.5,1.5,1.4,1.3,1.2,1.1,1.1,1.0,0.9,0.8,0.7
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.6,0.4,0.5,0.6,0.7,0.7,0.9,1.0,1.0,1.0,1.2,1.9,2.2,2.3,2.6,2.9,3.1
"NL","na","na","na","na","na",2.6,3.6,4.7,5.8,6.9,7.4,7.9,8.0,7.3,7.6,7.4,6.9,5.9,6.2,6.3,6.6,6.1,6.1,5.3,5.9,5.9,6.7,6.7,6.9,6.5,6.6,7.4,6.6,6.3,5.8,5.6,6.0,5.8,5.6,6.6,6.1,6.0,5.9,6.4,6.1
"NO","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,2.0,2.4,2.4,2.3,2.3,2.5,2.5,2.5,2.7,2.7,2.8,2.5,2.4,2.5,2.4,2.6,2.7,3.6,4.2,4.3,4.7,4.8,5.2,6.3,7.1,7.6,8.2,8.5,8.7,9.6,10.0
"PL","na","na","na","na","na",0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"RO","na","na","na","na","na",2.3,2.4,2.5,2.6,2.7,2.9,3.2,3.4,3.4,3.3,3.4,3.5,3.6,3.5,3.5,3.4,3.4,3.2,3.2,2.8,2.7,2.4,2.1,2.0,1.8,1.7,1.7,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.1,1.1,1.1
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",40.5,44.0,47.7,51.5,53.9,57.1,56.3,56.2,54.1,53.2,51.5,52.4,49.8,51.5,51.8,51.0,50.9,52.1,54.3,55.3,56.1,57.6,57.3,58.1,51.0
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7.3,7.4,7.7,7.7,7.9,7.7,7.4,5.2,5.7,3.1,2.8,3.1,1.5,1.2,2.0,4.1,4.5,4.7,5.2,5.1,5.5,5.8,6.3,6.4,3.5
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.8,3.5,3.1,2.8,2.7,2.5,2.1,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.9
"GB","na","na","na","na","na",1.0,1.7,2.4,2.6,3.2,3.3,3.5,3.7,3.5,3.5,3.4,3.4,3.4,3.5,3.4,3.8,4.0,4.2,4.1,4.0,4.4,4.9,5.0,5.9,6.3,6.9,8.1,8.3,8.7,9.6,10.5,10.2,10.0,10.0,9.3,8.5,7.7,7.0,6.7,5.8
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.0,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.9,4.1,4.3,4.3,4.5,4.8,4.9,4.9,5.0,5.0,5.0,5.2,5.2,5.3,5.7,6.0,6.2
"BP_OEE","na","na","na","na","na",18.7,20.1,20.9,22.3,24.5,27.0,29.7,32.1,34.5,37.4,39.8,42.5,45.6,48.6,53.0,1.9,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.5,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.0,1.1,1.0,1.1,1.0,1.0,0.9
"BP_TEE","na","na","na","na","na",27.3,30.7,33.8,37.0,40.9,44.2,48.0,51.0,53.9,57.6,59.7,62.1,64.1,67.5,72.3,77.9,81.3,85.5,87.8,90.5,93.0,92.5,90.0,89.3,85.7,84.8,89.1,85.0,86.5,88.6,90.6,91.6,93.6,96.9,99.6,100.4,101.8,101.9,104.8,94.1
"BH","na","na","na","na","na",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.1,1.1,1.2,1.2
"IR","na","na","na","na","na",1.2,1.4,1.6,1.7,2.0,2.0,1.9,1.8,1.6,1.7,0.7,0.6,0.7,1.1,1.3,1.4,1.5,1.5,1.9,2.1,2.2,2.5,2.4,2.6,3.1,3.4,3.8,4.5,4.8,5.5,5.8,6.4,7.3,7.9,8.2,10.0,10.5,10.8,11.2,12.7
"KW","na","na","na","na","na",0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.7,0.8,0.4,0.0,0.3,0.5,0.6,0.9,0.9,0.9,0.9,0.8,0.9,1.0,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.2
"OM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.8,1.4,1.5,1.6,1.8,1.9,2.3,2.3,2.3,2.4
"QA","na","na","na","na","na",0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.5,0.6,0.6,0.6,0.7,1.2,1.3,1.3,1.3,1.3,1.7,1.9,2.1,2.3,2.6,2.9,3.0,3.8,4.4,4.9,6.1,7.4,8.6
"SA","na","na","na","na","na",0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.2,1.1,1.8,1.8,2.4,2.6,2.8,2.9,3.2,3.4,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.5,4.8,5.2,5.5,5.8,6.3,6.9,7.1,7.2,7.8,7.5
"SY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6
"AE","na","na","na","na","na",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.6,0.6,0.7,0.9,0.9,0.8,1.1,1.3,1.5,1.6,1.7,2.0,1.9,2.3,2.1,2.2,2.6,3.0,3.3,3.5,3.6,3.7,3.7,4.3,4.2,4.3,4.5,4.6,4.7,4.9,4.8,4.7
"BP_OME","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.6,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.4,0.4,0.4,0.4
"BP_TME","na","na","na","na","na",1.9,2.1,2.4,2.7,3.1,3.2,3.3,3.5,3.8,4.5,3.6,3.8,4.1,4.4,5.7,6.2,7.4,7.9,9.0,9.9,9.8,10.1,11.0,11.9,13.2,14.5,15.3,17.0,17.9,18.8,20.1,22.6,23.9,25.4,27.5,31.0,32.8,34.6,37.0,39.4
"DZ","na","na","na","na","na",0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.7,1.2,1.9,1.4,1.6,2.1,3.1,3.0,3.3,3.5,4.0,4.2,4.5,4.8,5.1,5.3,5.4,5.0,5.7,6.0,6.9,7.4,8.3,8.1,7.6,7.8,8.0,7.9,8.5,8.2,8.2,8.3,7.9
"EG","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.3,1.3,1.4,1.6,2.0,2.4,2.6,2.9,3.2,4.1,5.3,5.4,5.7,6.1
"LY","na","na","na","na","na",0.0,0.1,0.3,0.4,0.3,0.4,0.5,0.5,0.5,0.7,0.5,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.8,1.1,1.3,1.5,1.5,1.5
"NG","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.6,1.2,1.4,1.4,1.9,2.2,2.2,2.8,3.4,3.4,2.4
"BP_OAF","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.9,1.1,1.1,1.4,1.8,1.9
"BP_TAF","na","na","na","na","na",0.3,0.4,0.7,0.9,0.9,1.2,1.4,1.4,1.9,2.9,2.3,2.6,3.0,4.1,4.1,4.6,5.0,5.5,5.8,6.4,6.7,7.1,7.5,7.9,7.5,8.3,8.8,9.9,10.4,11.6,12.6,12.7,13.1,14.0,15.0,17.0,18.6,19.9,20.7,19.7
"AU","na","na","na","na","na",0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.7,2.0,2.1,2.3,2.4,2.7,2.9,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.2,3.4,3.6,3.8,3.9,3.7,4.1
"BD","na","na","na","na","na",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9
"BN","na","na","na","na","na",0.0,0.0,0.0,0.2,0.4,0.5,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1
"CN","na","na","na","na","na",0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.2,1.3,1.4,1.4,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.9,2.2,2.3,2.4,2.6,2.9,3.2,3.4,4.0,4.8,5.7,6.7,7.7,8.2
"IN","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.8,1.0,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.4,2.4,2.5,2.6,2.7,2.9,2.8,2.9,2.8,2.9,2.9,3.8
"ID","na","na","na","na","na",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,1.1,1.5,1.8,1.8,1.8,2.1,2.8,3.1,3.3,3.5,3.8,4.0,4.2,4.7,4.9,5.1,5.8,5.9,6.2,6.4,6.2,6.8,6.3,6.1,6.7,7.1,6.8,6.9,6.8,6.5,6.7,7.0
"MY","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.4,1.5,1.6,1.7,1.7,2.0,2.2,2.4,2.5,2.8,3.2,3.7,3.7,4.0,4.4,4.5,4.7,5.0,5.2,5.9,6.1,6.2,6.3,6.1
"MM","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.7,0.8,0.9,1.0,1.2,1.2,1.3,1.2,1.1
"NZ","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4
"PK","na","na","na","na","na",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,2.0,2.1,2.2,2.4,2.9,3.3,3.4,3.5,3.6,3.6,3.7
"TH","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.8,0.8,0.9,1.0,1.1,1.3,1.6,1.7,1.9,2.0,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.8,3.0
"VN","na","na","na","na","na",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.7,0.7,0.7,0.8,0.8
"BP_OAP","na","na","na","na","na",0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6,0.7,1.0,1.2,1.3,1.3
"BP_TAP","na","na","na","na","na",1.5,1.8,2.1,2.5,3.0,3.5,4.0,4.9,5.6,6.3,6.8,6.9,7.1,7.7,9.4,10.4,11.5,12.3,13.1,13.7,14.6,15.8,16.8,17.9,19.5,20.5,21.9,23.4,23.8,25.4,26.3,27.3,29.1,31.2,32.5,35.2,36.9,38.7,40.3,42.4
"BP_WORLD","na","na","na","na","na",96.9,103.2,107.9,113.3,115.4,115.6,120.0,125.1,129.5,138.1,138.4,141.0,141.2,141.7,154.0,159.5,164.2,172.2,179.8,186.0,191.6,193.7,194.6,199.0,201.5,204.6,214.1,215.0,219.8,225.6,232.8,239.7,243.8,253.2,259.9,268.9,278.7,285.9,295.3,289.0
"BP_EU1","na","na","na","na","na",9.8,12.0,14.4,16.2,17.9,18.7,19.8,20.2,19.7,19.8,19.0,18.8,17.7,18.1,18.3,18.8,18.4,18.7,17.5,17.7,17.9,18.8,18.7,19.8,19.8,20.5,22.7,21.8,21.6,21.9,22.4,22.5,22.0,21.6,21.9,20.5,19.5,18.1,18.3,16.6
"BP_OECD","na","na","na","na","na",72.1,76.3,79.4,82.3,81.2,77.8,78.4,79.8,80.4,83.5,82.2,81.3,77.0,72.3,77.0,75.8,73.7,76.6,78.0,80.0,82.2,83.8,85.5,89.1,93.0,94.2,99.1,99.7,100.8,101.3,103.3,105.8,104.9,105.6,105.0,103.7,105.1,106.1,108.6,109.1
"BP_FSU","na","na","na","na","na",17.3,18.6,19.3,20.7,22.8,25.3,28.0,30.3,32.6,35.6,38.0,40.7,43.8,46.9,51.3,56.3,60.1,63.7,67.2,69.7,72.3,71.0,68.5,66.7,63.0,61.3,62.5,58.7,60.3,61.7,63.1,63.6,65.0,67.9,69.8,71.4,73.4,74.7,76.6,67.2
"BP_EMES","na","na","na","na","na",7.5,8.2,9.1,10.3,11.4,12.4,13.6,15.0,16.6,19.0,18.2,18.9,20.3,22.5,25.6,27.4,30.4,31.9,34.5,36.3,37.1,38.8,40.6,43.2,45.5,49.0,52.4,56.6,58.7,62.6,66.3,70.3,74.0,79.7,85.1,93.8,100.1,105.0,110.1,112.7
