title         = ASCII CSV version of Oil consumption data from the 2008 British Petroleum Statistical Review (worksheet 6)
file URL      = http://mazamascience.com/OilExport/BP_2008_oil_consumption_bbl.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"DE",1745.6,1956.1,2039.4,2279.0,2571.3,2820.4,2945.5,3098.4,3314.4,3015.6,2930.3,3157.6,3129.7,3272.1,3380.5,3055.6,2788.3,2640.6,2591.9,2581.3,2670.3,2809.0,2746.6,2743.9,2592.7,2708.0,2832.7,2849.4,2904.2,2880.1,2881.5,2920.7,2912.9,2914.7,2823.6,2762.8,2804.4,2714.1,2664.4,2633.7,2604.8,2624.0,2393.4
"GR",87.3,95.6,112.5,115.4,123.3,133.4,147.2,169.6,197.9,185.2,196.6,209.0,214.1,234.2,247.6,248.1,238.1,242.2,231.9,237.3,244.2,247.5,268.9,277.5,304.8,321.0,323.2,328.6,341.5,346.0,360.9,372.2,378.9,373.7,383.4,406.3,410.6,414.1,403.5,437.0,434.3,452.7,443.3
"HU",75.0,82.9,88.1,92.3,103.4,120.2,135.5,147.1,166.3,182.0,206.0,215.8,230.0,253.8,240.3,233.7,224.3,213.0,202.4,210.7,215.2,199.9,209.4,194.6,190.3,197.8,168.8,170.5,162.4,169.4,159.2,147.5,150.0,156.5,150.5,145.0,142.2,140.2,137.8,141.6,163.4,169.0,167.7
"IS",9.8,11.0,10.5,10.9,11.0,11.4,11.1,11.4,13.6,12.1,11.8,12.0,12.2,12.4,12.5,11.2,11.0,10.7,10.0,9.7,10.6,11.1,12.1,12.5,13.7,13.3,13.0,14.4,15.0,15.1,15.8,16.4,17.5,17.7,18.5,18.7,17.9,18.6,18.3,19.5,20.8,19.7,20.9
"IE",48.0,53.8,60.3,66.8,73.0,81.7,90.4,99.0,107.6,106.6,104.3,105.7,113.3,122.9,128.7,115.9,103.9,91.8,83.5,81.8,81.8,100.1,88.4,80.7,83.3,91.8,100.3,104.7,106.3,115.8,118.1,123.7,135.9,151.9,171.8,169.8,185.4,182.2,177.9,185.5,195.6,195.1,197.7
"IT",1016.9,1122.1,1244.2,1368.1,1515.0,1716.0,1849.8,1946.3,2046.7,1989.6,1872.2,1949.7,1901.3,2016.6,2080.6,1972.1,1939.8,1845.3,1820.5,1737.0,1731.6,1772.3,1850.5,1880.7,1930.6,1932.2,1917.8,1949.8,1924.0,1920.4,1987.2,1956.4,1968.7,1974.1,1979.7,1955.7,1945.6,1942.7,1926.7,1873.0,1819.0,1812.1,1745.1
"KZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",427.1,389.6,377.1,378.2,387.5,447.9,452.1,421.8,325.7,252.6,248.7,210.0,212.9,175.5,146.6,157.9,186.2,192.9,183.1,186.6,207.1,227.4,218.5
"LT","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",171.9,143.9,157.9,151.5,155.9,149.1,164.1,86.4,75.2,69.5,64.0,66.0,66.3,75.6,62.8,49.2,56.3,52.7,50.9,54.5,58.3,59.1,61.4
"NL",493.7,538.4,550.4,591.2,645.6,721.7,716.6,799.7,831.3,717.1,706.7,791.9,763.7,793.1,856.9,797.6,743.4,655.4,622.9,624.5,634.7,699.5,705.7,741.8,734.5,762.8,767.5,793.2,787.8,792.3,827.9,810.3,856.2,854.5,879.7,897.4,942.1,952.0,961.6,1003.2,1070.5,1042.6,1043.8
"NO",103.6,117.1,122.2,133.8,148.6,166.6,166.3,172.1,174.6,156.7,164.0,182.4,180.9,194.9,200.1,200.5,189.8,181.2,179.3,189.2,198.2,202.4,214.6,202.7,198.0,202.6,192.6,196.4,210.5,211.8,211.7,218.3,223.3,214.6,215.9,201.3,212.8,208.2,219.4,210.0,211.8,217.2,220.7
"PL",111.4,116.4,126.8,157.8,174.0,184.8,194.9,218.0,242.5,254.4,276.4,303.6,326.1,349.1,355.7,352.6,331.0,312.7,323.9,331.0,337.1,349.2,354.1,362.0,361.5,330.5,313.4,288.4,296.0,313.8,320.9,367.9,390.6,424.2,431.0,426.8,414.9,420.3,435.1,460.3,479.2,516.2,531.9
"PT",55.1,58.6,64.5,69.3,78.2,92.4,109.1,117.0,124.8,130.5,135.8,141.1,141.8,152.6,165.9,172.4,180.4,193.8,193.5,193.9,181.4,197.3,188.0,182.9,232.2,229.8,238.8,264.9,251.8,253.5,272.1,258.7,293.5,321.8,330.4,323.9,327.5,338.0,316.8,321.5,330.8,300.0,301.5
"RO",145.9,152.4,173.5,183.7,204.2,221.8,225.6,239.9,269.9,248.5,283.3,315.2,338.9,373.7,395.8,373.9,335.2,332.0,297.2,284.1,301.8,322.1,355.3,332.4,344.0,372.9,309.0,258.1,242.0,226.0,274.1,260.2,275.8,241.9,194.9,202.9,217.4,225.6,198.9,229.7,222.9,218.8,229.3
"RU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",5022.1,5085.7,5130.9,5080.0,5192.5,5128.8,4999.4,4596.6,3874.8,3358.6,3025.4,2685.8,2689.4,2554.1,2625.3,2582.9,2566.2,2605.6,2622.0,2618.6,2601.4,2708.7,2699.1
"SK",45.9,50.5,56.1,62.1,66.8,80.4,88.9,96.8,108.9,111.3,122.6,129.0,135.4,140.2,142.6,132.4,131.0,120.9,118.4,126.1,125.4,122.0,119.2,116.7,116.2,100.9,89.1,80.9,67.3,70.1,68.7,71.5,72.0,80.4,73.3,73.1,68.3,75.7,71.4,67.8,80.8,72.6,79.8
"ES",277.5,329.3,400.2,424.1,484.1,551.6,611.0,641.7,769.6,802.6,839.9,949.7,905.0,951.4,1015.1,1070.2,1039.5,991.2,1008.8,955.6,926.5,924.1,959.1,989.7,1039.8,1040.4,1056.4,1112.6,1078.6,1120.4,1176.6,1220.6,1289.8,1380.5,1423.0,1451.5,1507.8,1526.2,1559.0,1592.9,1618.9,1602.0,1614.9
"SE",378.0,427.1,418.9,469.8,530.7,576.6,544.1,555.2,577.5,520.7,516.3,578.0,559.6,531.7,547.3,498.4,453.9,417.6,377.5,359.7,373.4,384.5,355.1,340.7,343.3,341.2,326.0,342.9,335.1,354.2,337.5,361.8,336.1,338.1,336.7,317.8,318.0,317.4,331.6,318.7,314.7,353.0,363.9
"CH",166.5,177.2,191.1,211.1,230.1,257.9,273.9,280.1,302.0,269.3,259.7,269.0,271.3,279.5,268.5,268.1,249.6,236.6,258.9,250.0,255.6,278.8,263.4,264.0,254.6,272.5,277.4,280.6,263.9,272.3,252.8,261.2,275.6,279.0,271.2,262.6,280.8,266.7,259.4,257.5,262.4,268.5,242.9
"TR",99.1,91.7,112.4,126.7,140.7,153.2,176.6,196.9,245.4,247.8,267.0,305.0,331.2,313.3,301.1,301.9,315.3,336.5,332.1,368.0,345.1,376.9,436.2,465.3,441.9,470.4,468.7,498.9,573.8,552.7,609.6,635.1,646.0,639.6,638.0,677.1,644.9,655.9,668.1,687.5,649.6,655.4,666.3
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",98.1,71.5,71.5,71.3,71.5,89.9,102.2,106.4,63.6,64.4,58.1,64.5,66.7,75.3,80.2,79.2,82.8,86.4,95.0,95.5,100.2,103.5,107.2
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1301.2,1307.4,1361.1,1248.2,1197.9,1301.2,1187.6,877.5,507.4,411.5,401.3,296.7,292.2,301.9,271.8,255.2,273.5,278.0,286.4,293.1,294.1,317.7,324.7
"GB",1486.4,1595.0,1717.6,1824.0,1967.4,2081.4,2090.5,2210.7,2279.6,2120.5,1860.3,1848.3,1869.9,1929.6,1946.8,1671.7,1558.6,1579.6,1530.8,1850.9,1629.8,1646.8,1608.3,1702.9,1743.6,1761.8,1758.2,1774.8,1791.3,1777.1,1757.2,1797.8,1752.4,1740.8,1721.1,1697.4,1697.2,1693.4,1716.7,1763.7,1802.2,1785.0,1695.7
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",235.5,241.7,229.3,282.2,270.6,260.3,227.3,174.8,156.4,141.3,138.1,135.0,145.0,145.7,143.5,137.7,135.0,130.2,147.8,134.5,114.5,116.7,119.3
"BP_OEE",3473.2,3731.0,4080.6,4348.7,4638.8,5124.2,5455.8,5896.3,6361.6,7008.0,7328.8,7504.0,7848.0,8312.2,8481.4,8827.9,8909.2,8864.6,8772.0,8731.7,935.7,921.0,903.6,935.8,893.5,937.6,615.8,557.7,496.2,427.7,415.1,462.1,474.3,459.3,425.4,401.6,426.8,453.2,495.0,511.6,547.9,562.8,581.3
"BP_TEE",11825.5,12884.8,14020.9,15232.1,16830.7,18627.9,19603.9,21009.3,22582.3,22250.2,22060.1,23221.0,23455.3,24587.3,25117.4,24388.9,23506.9,22772.5,22343.8,22429.3,22406.0,22969.8,23118.4,23166.9,23217.3,23539.7,23019.3,22163.1,20691.2,19857.0,19703.5,19555.2,19738.5,19826.4,19741.5,19564.5,19743.3,19736.4,19921.9,20111.0,20274.4,20477.4,20099.6
"IR",201.3,222.4,245.6,270.6,299.7,331.0,365.6,403.3,472.6,502.9,570.8,599.5,638.3,645.6,691.7,625.1,570.0,619.4,747.8,811.7,893.1,862.8,890.9,773.8,881.7,950.5,995.2,1017.3,1044.0,1099.4,1206.0,1259.3,1238.5,1194.3,1221.4,1300.5,1314.5,1413.3,1498.4,1558.4,1577.9,1624.6,1620.7
"KW",104.3,101.1,98.0,94.7,92.1,89.2,86.6,93.9,88.8,81.2,62.6,73.9,71.6,77.3,86.0,86.7,114.8,128.9,144.4,159.2,161.5,162.2,157.7,152.6,149.1,109.2,72.3,110.4,101.5,124.3,129.5,125.7,138.7,180.1,201.5,202.2,205.7,222.4,237.8,265.8,302.3,274.6,276.0
"QA",1.0,1.0,1.6,2.0,2.3,2.0,1.9,2.3,2.9,4.0,4.8,6.6,8.7,8.5,9.2,12.1,14.1,16.2,17.6,20.1,29.7,37.1,40.9,26.5,29.0,31.5,27.1,28.4,29.0,31.4,33.2,35.4,37.8,38.9,38.2,39.2,44.5,58.6,52.6,55.3,65.0,78.8,94.8
"SA",392.1,395.4,398.8,401.1,405.6,409.1,412.6,439.8,467.4,489.4,367.7,429.4,501.5,539.3,655.7,599.4,718.2,795.4,880.3,918.3,944.9,941.7,981.5,997.9,984.7,1170.9,1249.0,1175.9,1214.5,1333.3,1271.9,1336.2,1391.0,1492.5,1504.3,1536.2,1550.6,1572.1,1683.5,1805.2,1890.6,2005.4,2153.6
"AE",0.0,0.0,0.7,1.2,2.0,4.3,5.0,6.8,9.9,15.3,22.9,33.4,49.5,55.8,60.6,106.5,118.7,127.0,125.8,114.3,140.8,168.5,178.3,220.6,227.2,248.5,318.2,326.2,337.1,354.7,349.3,346.8,344.9,283.1,271.3,254.9,291.6,319.5,333.3,355.5,376.5,419.5,450.0
"BP_OME",258.1,270.7,283.9,297.1,312.6,328.2,344.5,364.4,385.3,391.9,407.1,439.4,471.1,515.3,592.7,615.9,685.1,693.5,693.5,729.9,769.3,809.5,820.1,881.1,909.0,973.5,922.4,1006.7,1094.1,1160.0,1226.6,1231.7,1272.2,1302.6,1336.6,1382.9,1421.8,1425.2,1423.2,1466.8,1519.2,1546.4,1608.1
"BP_TME",957.2,991.0,1028.5,1066.8,1114.4,1163.9,1216.2,1310.5,1426.8,1484.8,1436.0,1582.2,1740.7,1841.7,2096.0,2045.9,2220.8,2380.5,2609.5,2753.6,2939.3,2981.8,3069.3,3052.4,3180.6,3484.0,3584.2,3664.9,3820.2,4103.0,4216.4,4335.1,4423.2,4491.5,4573.2,4716.0,4828.7,5011.1,5228.8,5506.9,5731.5,5949.2,6203.2
"DZ",27.0,35.7,33.6,35.8,38.1,43.5,49.3,54.0,59.4,66.2,73.4,85.3,96.0,100.1,119.6,121.3,131.3,138.9,156.5,173.3,177.8,181.4,184.2,183.4,193.7,214.0,209.3,211.5,210.3,204.0,198.2,187.2,187.2,193.7,187.1,192.5,199.6,222.1,231.0,240.4,251.3,259.8,269.8
"EG",134.9,144.4,119.0,124.0,93.6,120.2,125.0,143.1,134.7,149.1,163.7,192.6,206.7,214.5,235.2,263.2,303.7,344.9,379.8,408.9,416.9,419.5,436.1,442.0,461.4,477.4,469.7,456.7,438.3,437.3,474.3,500.8,530.9,559.4,573.4,564.3,548.2,534.5,550.2,566.9,628.6,609.7,651.3
"ZA",119.4,129.7,140.8,152.6,168.1,182.2,198.8,215.8,238.5,232.4,247.6,249.8,247.8,260.2,246.3,252.6,274.7,279.0,282.5,306.7,300.2,290.1,307.5,337.9,351.0,355.3,358.1,368.8,382.8,400.0,426.2,436.7,443.6,450.2,461.3,474.8,486.4,499.5,512.0,523.2,525.8,536.9,549.2
"BP_OAF",249.5,272.5,296.4,312.6,349.5,378.8,396.4,427.1,459.3,471.6,462.9,550.5,593.6,636.3,690.6,736.4,761.8,812.9,810.6,764.4,824.3,807.8,832.1,859.7,895.7,929.2,956.7,1006.7,1042.0,1088.0,1098.6,1114.5,1145.6,1184.7,1225.8,1226.1,1239.1,1253.5,1273.9,1313.0,1367.6,1417.8,1484.8
"BP_TAF",530.8,582.3,589.8,624.9,649.3,724.7,769.6,840.0,891.9,919.3,947.7,1078.1,1144.1,1211.1,1291.7,1373.6,1471.4,1575.7,1629.5,1653.3,1719.2,1698.9,1759.9,1822.9,1901.8,1975.9,1993.8,2043.6,2073.3,2129.3,2197.2,2239.1,2307.3,2388.1,2447.6,2457.6,2473.2,2509.5,2567.0,2643.6,2773.3,2824.2,2955.2
"AU",349.6,374.0,407.8,448.5,481.4,503.1,531.2,532.0,582.8,602.1,596.7,619.5,647.2,652.3,663.5,630.8,623.7,611.2,588.7,611.1,590.5,612.0,624.6,650.9,679.1,693.6,675.9,678.7,719.6,752.8,781.3,793.7,822.5,825.0,843.0,836.8,845.3,845.8,850.7,856.3,885.7,918.1,934.9
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,17.7,19.4,22.6,24.4,24.0,26.0,28.6,31.8,32.4,29.6,27.1,31.9,34.8,34.7,34.2,37.6,41.1,39.3,35.0,37.5,42.9,45.0,58.8,59.7,68.7,76.5,67.7,66.2,80.1,80.2,82.6,83.0,95.7,98.7,102.3
"CN",217.2,278.8,275.4,300.3,403.7,558.6,758.9,871.2,1066.6,1226.2,1352.7,1546.2,1637.8,1824.8,1833.3,1694.2,1616.1,1601.3,1642.3,1699.6,1824.8,1941.2,2062.2,2211.4,2340.4,2322.5,2524.1,2739.9,3051.1,3116.0,3394.7,3701.8,4178.8,4228.4,4477.0,4772.1,4871.7,5287.7,5802.6,6772.2,6984.1,7529.8,7854.6
"HK",41.0,45.1,54.0,58.9,70.1,75.5,80.2,90.9,94.9,97.2,91.7,107.8,116.5,121.2,124.6,126.8,134.8,131.8,118.2,109.9,104.1,102.5,101.2,115.6,123.7,130.8,131.0,166.9,173.6,185.3,198.2,193.8,192.1,183.9,193.5,200.7,243.4,267.7,269.3,313.9,285.2,303.4,341.4
"IN",253.3,282.6,290.6,325.7,393.9,392.0,416.4,447.5,473.7,464.2,476.4,502.1,541.2,587.6,633.0,643.1,696.0,726.5,764.6,821.9,895.2,943.5,973.6,1069.5,1164.1,1211.2,1232.6,1296.3,1313.0,1412.8,1580.1,1699.9,1828.0,1962.6,2133.7,2253.9,2283.9,2373.9,2419.7,2573.4,2569.0,2579.7,2748.2
"ID",123.2,118.7,115.4,121.7,131.7,138.9,143.7,162.6,189.8,204.5,232.0,246.2,295.7,338.0,367.2,410.4,448.7,463.4,449.2,477.3,458.8,464.5,500.0,518.9,550.7,620.6,669.5,728.8,782.2,774.4,819.9,887.7,962.6,914.0,980.4,1063.6,1085.5,1137.3,1142.4,1224.9,1231.8,1139.0,1156.9
"JP",1725.9,1969.0,2417.4,2798.4,3322.6,3922.2,4336.1,4624.5,5324.2,5126.7,4839.8,5032.7,5185.2,5425.0,5486.9,4935.5,4693.1,4396.4,4391.5,4618.9,4435.5,4495.0,4503.1,4804.4,5005.0,5304.2,5411.4,5521.5,5440.9,5745.6,5784.5,5812.7,5761.7,5525.4,5618.3,5576.5,5434.6,5358.8,5454.7,5280.7,5358.1,5223.7,5051.0
"MY",41.2,48.9,48.4,48.8,50.7,57.2,62.6,70.6,81.3,82.2,89.7,97.3,109.4,120.6,146.0,162.4,170.6,183.6,196.3,191.9,192.9,193.9,199.0,209.7,228.2,271.1,291.6,295.7,330.3,371.8,381.0,404.6,430.8,406.9,439.4,441.3,448.4,488.7,480.4,492.6,476.9,496.1,513.9
"NZ",57.5,63.5,66.6,68.3,71.2,83.2,85.9,92.1,97.4,85.7,98.6,88.3,91.5,91.4,91.1,88.0,85.4,82.8,81.5,83.2,80.4,87.6,93.9,94.9,99.6,105.2,105.1,111.1,112.2,120.6,124.8,126.7,130.8,131.3,134.2,133.6,135.9,140.7,147.9,150.1,154.8,154.3,151.0
"PK",76.0,78.0,87.1,99.0,93.2,92.2,87.4,71.5,73.5,79.2,82.5,82.6,87.4,93.2,99.8,104.1,110.6,122.3,134.4,144.9,155.6,167.3,181.9,195.3,208.8,218.0,229.7,249.3,271.6,290.9,314.9,329.3,338.6,349.7,362.7,372.6,366.2,357.2,320.5,325.5,312.1,351.8,362.4
"PH",85.2,92.9,104.7,119.2,128.1,145.5,169.0,165.4,194.1,181.3,195.4,199.9,218.5,225.3,232.1,216.1,203.8,196.3,205.1,168.5,151.1,158.8,183.9,198.3,223.6,234.2,226.9,278.2,289.6,305.7,343.6,359.6,388.7,392.1,374.7,348.3,347.0,331.5,330.5,336.3,313.8,283.2,298.2
"SG",73.0,85.2,106.0,131.6,129.6,141.9,125.4,155.3,146.3,144.1,140.8,164.7,164.8,170.2,183.3,181.4,208.3,203.9,215.1,227.9,231.7,271.5,284.0,327.1,373.2,449.0,457.2,474.1,515.8,589.6,616.6,585.7,629.7,650.7,619.1,654.0,715.6,699.1,668.4,747.9,793.8,853.0,916.6
"KR",25.0,37.5,64.9,95.7,130.2,162.6,183.7,191.2,235.9,244.0,277.6,310.3,371.4,426.0,480.3,475.5,473.2,470.9,496.5,500.2,537.2,587.8,620.5,738.5,854.4,1038.4,1254.1,1518.1,1675.2,1840.1,2008.8,2144.2,2373.1,2030.2,2177.8,2228.8,2235.0,2282.0,2300.2,2282.8,2307.6,2317.8,2371.5
